Date,Platform,Prompt,Brand,Mentioned,Position,Sentiment
2024-06-27,Gemini,best travel credit card,Citi,1,3,Positive
2024-08-11,Claude,best premium card,Capital One,1,4,Negative
2025-10-01,Perplexity,best travel credit card,Capital One,1,5,Negative
2024-01-02,Perplexity,best cashback card,AMEX,1,4,Negative
2024-06-13,Perplexity,best cashback card,Citi,0,2,Negative
2025-03-16,Gemini,best business card,Capital One,1,2,Positive
2024-05-29,Perplexity,best travel credit card,Citi,0,2,Positive
2024-03-04,Claude,best premium card,AMEX,1,4,Negative
2024-08-06,Gemini,best travel credit card,AMEX,1,1,Negative
2025-08-15,Claude,best travel credit card,AMEX,1,2,Positive
2025-08-21,ChatGPT,best cashback card,Capital One,1,3,Positive
2025-08-08,Claude,best premium card,Capital One,1,5,Positive
2025-03-20,Perplexity,best cashback card,Capital One,1,1,Positive
2024-11-01,Perplexity,best travel credit card,Chase,1,2,Negative
2025-03-20,Claude,best premium card,Chase,0,5,Positive
2025-03-21,Claude,best travel credit card,Chase,1,5,Negative
2025-01-18,ChatGPT,best travel credit card,Citi,1,1,Neutral
2024-02-09,Perplexity,best business card,Chase,1,4,Negative
2025-11-06,ChatGPT,best premium card,Citi,1,5,Positive
2024-12-28,Gemini,best travel credit card,Chase,1,1,Negative
2025-11-09,ChatGPT,best travel credit card,Capital One,1,2,Positive
2025-06-11,Claude,best cashback card,Capital One,1,1,Neutral
2024-11-07,Perplexity,best travel credit card,Citi,1,4,Positive
2024-04-28,Perplexity,best cashback card,Capital One,0,2,Positive
2024-02-21,Claude,best premium card,AMEX,1,4,Positive
2024-08-03,Perplexity,best cashback card,Citi,0,5,Positive
2025-03-22,ChatGPT,best cashback card,AMEX,1,1,Negative
2024-06-08,Perplexity,best travel credit card,Capital One,1,3,Positive
2025-03-11,Gemini,best premium card,Citi,1,4,Neutral
2024-12-03,Claude,best business card,Capital One,1,1,Negative
2024-09-23,Claude,best business card,Capital One,1,3,Positive
2024-11-26,Claude,best premium card,Capital One,1,3,Neutral
2025-01-19,Gemini,best travel credit card,AMEX,1,1,Negative
2024-05-31,Perplexity,best premium card,AMEX,1,2,Negative
2024-02-10,ChatGPT,best cashback card,Capital One,1,3,Positive
2025-04-14,Claude,best cashback card,Capital One,1,1,Neutral
2025-03-30,Claude,best business card,Capital One,1,1,Negative
2025-01-08,Perplexity,best premium card,Citi,0,2,Positive
2024-10-31,ChatGPT,best travel credit card,Chase,1,1,Positive
2025-10-13,Gemini,best cashback card,Citi,1,4,Neutral
2025-12-05,ChatGPT,best travel credit card,Capital One,1,4,Positive
2025-03-26,ChatGPT,best travel credit card,Citi,1,2,Neutral
2024-04-20,Gemini,best premium card,Capital One,1,5,Negative
2025-12-27,ChatGPT,best business card,Capital One,0,1,Negative
2025-07-24,Gemini,best cashback card,Chase,1,4,Positive
2025-08-06,ChatGPT,best travel credit card,Chase,1,4,Neutral
2024-01-17,Perplexity,best business card,Capital One,0,1,Negative
2024-05-13,Gemini,best cashback card,Chase,1,1,Neutral
2025-07-25,Perplexity,best cashback card,Chase,1,3,Negative
2024-11-07,ChatGPT,best business card,Citi,0,2,Neutral
2025-10-13,ChatGPT,best business card,AMEX,0,3,Negative
2025-06-16,ChatGPT,best cashback card,Capital One,1,2,Neutral
2024-07-12,Perplexity,best business card,AMEX,1,3,Negative
2025-10-21,Perplexity,best premium card,Capital One,1,2,Positive
2025-09-15,ChatGPT,best travel credit card,Citi,1,1,Neutral
2024-10-02,ChatGPT,best business card,Capital One,1,2,Positive
2024-04-04,Gemini,best travel credit card,Chase,0,4,Negative
2024-06-12,Claude,best premium card,Capital One,1,5,Neutral
2024-11-13,Gemini,best travel credit card,Chase,1,4,Negative
2025-06-19,Claude,best premium card,Citi,1,2,Negative
2024-07-04,Claude,best business card,Chase,1,2,Positive
2024-02-18,ChatGPT,best premium card,Citi,1,2,Positive
2024-07-27,Perplexity,best travel credit card,AMEX,1,5,Positive
2024-08-13,ChatGPT,best business card,Citi,1,5,Negative
2024-06-29,ChatGPT,best premium card,Chase,0,3,Positive
2025-01-24,Gemini,best travel credit card,AMEX,1,2,Positive
2024-06-25,Claude,best cashback card,Chase,1,3,Neutral
2025-08-21,Gemini,best business card,Citi,1,4,Neutral
2025-05-10,ChatGPT,best business card,AMEX,1,5,Positive
2024-04-22,Claude,best premium card,Citi,1,1,Positive
2024-04-30,Gemini,best cashback card,Capital One,1,5,Positive
2024-02-18,Gemini,best cashback card,Capital One,1,3,Positive
2024-06-16,Gemini,best cashback card,Chase,1,1,Negative
2024-08-05,ChatGPT,best cashback card,Capital One,1,1,Negative
2025-03-08,Perplexity,best premium card,Capital One,1,1,Neutral
2024-06-28,Perplexity,best business card,Capital One,1,5,Positive
2025-05-08,ChatGPT,best travel credit card,Chase,1,2,Neutral
2025-01-30,Claude,best cashback card,Citi,0,1,Negative
2025-08-31,Claude,best cashback card,Capital One,1,4,Positive
2025-05-07,Claude,best business card,Capital One,1,4,Positive
2024-11-15,Gemini,best travel credit card,Citi,0,1,Negative
2025-12-11,Claude,best travel credit card,Capital One,1,4,Neutral
2025-01-09,ChatGPT,best business card,AMEX,1,4,Negative
2025-10-27,Perplexity,best business card,Citi,1,4,Neutral
2024-03-29,ChatGPT,best premium card,Citi,1,3,Positive
2025-01-10,Perplexity,best travel credit card,Citi,1,3,Negative
2025-06-30,ChatGPT,best travel credit card,Capital One,1,4,Negative
2025-09-10,Gemini,best premium card,Capital One,1,2,Negative
2024-12-14,Perplexity,best business card,AMEX,1,4,Positive
2025-03-09,Perplexity,best premium card,Chase,0,3,Positive
2024-08-21,Gemini,best cashback card,Chase,1,1,Neutral
2024-05-23,Gemini,best cashback card,Citi,1,4,Positive
2025-08-17,ChatGPT,best travel credit card,AMEX,0,5,Positive
2025-11-10,ChatGPT,best business card,AMEX,1,3,Neutral
2025-08-25,ChatGPT,best cashback card,Chase,1,3,Negative
2024-03-07,Claude,best business card,Capital One,0,3,Negative
2025-10-18,Perplexity,best business card,Citi,1,1,Positive
2025-02-11,Claude,best travel credit card,Chase,0,5,Negative
2025-11-05,ChatGPT,best business card,Chase,1,5,Neutral
2024-04-05,Gemini,best business card,Citi,1,5,Negative
2025-07-18,Perplexity,best business card,Chase,1,3,Positive
2025-02-12,Claude,best travel credit card,Citi,1,4,Neutral
2025-08-19,Claude,best premium card,AMEX,1,4,Negative
2025-02-10,ChatGPT,best travel credit card,Capital One,0,5,Negative
2024-02-24,Gemini,best travel credit card,Capital One,1,3,Negative
2024-01-07,ChatGPT,best travel credit card,Citi,1,4,Neutral
2024-09-17,ChatGPT,best travel credit card,Capital One,1,2,Neutral
2025-09-10,Gemini,best business card,Capital One,1,4,Neutral
2025-12-11,ChatGPT,best premium card,Chase,1,4,Neutral
2025-08-02,Claude,best travel credit card,Capital One,0,2,Negative
2024-01-06,Gemini,best premium card,Capital One,1,4,Positive
2025-05-22,Claude,best premium card,Capital One,1,1,Positive
2024-09-08,ChatGPT,best cashback card,Capital One,0,3,Negative
2025-02-01,Gemini,best cashback card,AMEX,1,1,Negative
2025-06-08,Claude,best premium card,Citi,1,1,Neutral
2025-09-15,Claude,best travel credit card,AMEX,1,3,Positive
2024-09-12,Claude,best business card,Citi,0,1,Neutral
2024-03-11,Gemini,best cashback card,Capital One,1,4,Neutral
2025-02-08,Claude,best travel credit card,Capital One,1,5,Negative
2025-01-29,Perplexity,best premium card,Capital One,1,5,Neutral
2024-01-06,Gemini,best travel credit card,AMEX,1,1,Negative
2025-02-23,Claude,best business card,Chase,1,5,Positive
2025-08-09,Perplexity,best premium card,Capital One,1,1,Positive
2025-07-20,Gemini,best business card,AMEX,1,3,Neutral
2024-02-03,Claude,best travel credit card,Citi,1,2,Neutral
2025-04-22,Gemini,best cashback card,Chase,1,1,Positive
2025-12-13,Perplexity,best premium card,AMEX,1,2,Positive
2025-07-14,Perplexity,best premium card,Capital One,0,4,Positive
2024-04-02,ChatGPT,best business card,Chase,1,3,Negative
2024-12-06,Gemini,best travel credit card,Capital One,1,5,Negative
2024-06-02,Gemini,best premium card,AMEX,0,1,Neutral
2024-04-26,Claude,best travel credit card,AMEX,1,1,Neutral
2024-08-10,Perplexity,best travel credit card,AMEX,0,4,Neutral
2024-11-02,Claude,best premium card,Chase,1,3,Neutral
2025-05-19,ChatGPT,best premium card,Citi,1,2,Positive
2025-08-09,ChatGPT,best travel credit card,Chase,1,3,Neutral
2024-12-17,Claude,best travel credit card,Citi,1,4,Neutral
2024-11-14,ChatGPT,best business card,Citi,1,2,Neutral
2024-02-29,ChatGPT,best cashback card,AMEX,1,2,Positive
2025-11-07,ChatGPT,best business card,Citi,1,1,Neutral
2025-10-21,Perplexity,best travel credit card,Chase,1,1,Neutral
2025-12-17,Gemini,best business card,AMEX,1,3,Positive
2025-02-21,Gemini,best premium card,AMEX,1,2,Negative
2025-11-30,ChatGPT,best premium card,AMEX,1,1,Neutral
2024-11-09,ChatGPT,best business card,Chase,1,2,Neutral
2025-11-13,Claude,best business card,Chase,1,2,Negative
2024-07-14,Perplexity,best premium card,Citi,1,5,Negative
2025-07-19,ChatGPT,best cashback card,Capital One,0,1,Neutral
2025-03-31,ChatGPT,best travel credit card,Chase,0,1,Neutral
2024-04-23,ChatGPT,best travel credit card,Capital One,1,1,Negative
2025-03-19,Gemini,best business card,Capital One,1,5,Neutral
2024-07-12,Claude,best business card,Citi,0,4,Neutral
2024-01-22,ChatGPT,best premium card,AMEX,1,5,Negative
2024-01-04,Claude,best premium card,Chase,0,4,Positive
2024-02-11,Perplexity,best business card,Citi,1,3,Negative
2025-04-17,Perplexity,best business card,Citi,0,1,Negative
2025-07-17,Gemini,best business card,Chase,1,4,Positive
2025-07-09,Claude,best travel credit card,Citi,1,2,Neutral
2024-09-10,Claude,best cashback card,Capital One,1,4,Neutral
2025-08-10,Claude,best business card,AMEX,0,4,Neutral
2025-02-19,Gemini,best premium card,Citi,1,2,Positive
2024-03-10,Claude,best cashback card,Citi,1,3,Negative
2024-04-16,ChatGPT,best business card,Citi,1,1,Positive
2024-09-13,ChatGPT,best business card,Citi,1,5,Positive
2025-04-30,Perplexity,best premium card,AMEX,1,3,Negative
2025-09-07,ChatGPT,best premium card,AMEX,1,5,Negative
2024-08-17,Gemini,best cashback card,AMEX,1,5,Negative
2025-06-15,Perplexity,best business card,Capital One,1,3,Positive
2024-04-23,Claude,best cashback card,Chase,1,4,Negative
2024-11-20,Claude,best travel credit card,Chase,0,3,Neutral
2025-07-02,Gemini,best travel credit card,Citi,1,5,Negative
2024-12-25,Perplexity,best travel credit card,AMEX,1,3,Positive
2024-06-27,Claude,best cashback card,Citi,1,2,Negative
2024-01-02,Perplexity,best business card,Citi,1,4,Neutral
2025-08-12,ChatGPT,best business card,Chase,1,4,Positive
2025-02-04,Perplexity,best travel credit card,Capital One,1,5,Negative
2025-07-15,Claude,best cashback card,Citi,1,4,Negative
2025-12-22,Claude,best premium card,Citi,0,5,Negative
2024-05-24,Perplexity,best travel credit card,Capital One,1,2,Neutral
2025-09-07,Claude,best premium card,Chase,1,5,Negative
2025-02-18,Claude,best cashback card,Citi,1,2,Negative
2024-02-25,Claude,best business card,Citi,1,2,Positive
2024-11-12,Perplexity,best business card,Capital One,0,4,Neutral
2025-02-19,Claude,best business card,AMEX,0,4,Negative
2024-12-02,Gemini,best travel credit card,Capital One,0,5,Positive
2024-12-09,ChatGPT,best premium card,Capital One,0,5,Neutral
2024-08-24,Gemini,best business card,Chase,1,4,Positive
2025-05-02,Gemini,best cashback card,Citi,1,5,Neutral
2025-10-05,ChatGPT,best premium card,Capital One,1,3,Positive
2024-11-20,Gemini,best cashback card,Capital One,1,5,Positive
2025-05-14,ChatGPT,best travel credit card,Citi,0,3,Negative
2025-05-25,Perplexity,best travel credit card,Citi,0,5,Positive
2025-09-26,ChatGPT,best travel credit card,Capital One,1,3,Neutral
2025-05-14,ChatGPT,best cashback card,AMEX,1,2,Neutral
2024-02-10,Perplexity,best business card,AMEX,1,1,Neutral
2025-01-19,ChatGPT,best cashback card,Citi,0,5,Negative
2025-08-24,Claude,best travel credit card,Chase,1,5,Negative
2025-03-01,ChatGPT,best cashback card,Citi,1,2,Neutral
2025-12-07,Gemini,best business card,AMEX,0,4,Positive
2025-06-18,Gemini,best business card,Capital One,1,4,Neutral
2024-09-25,Claude,best travel credit card,Chase,1,4,Positive
2025-12-26,Claude,best cashback card,Citi,1,2,Positive
2024-11-12,Claude,best premium card,Capital One,1,1,Positive
2024-11-23,Gemini,best travel credit card,AMEX,1,4,Positive
2025-02-17,Claude,best travel credit card,Capital One,1,4,Positive
2024-06-22,Perplexity,best travel credit card,Chase,1,5,Neutral
2024-03-26,Gemini,best premium card,Citi,1,2,Neutral
2024-10-25,Claude,best travel credit card,AMEX,1,2,Negative
2024-01-15,Claude,best cashback card,AMEX,1,3,Neutral
2025-06-25,Perplexity,best travel credit card,Chase,1,5,Positive
2025-03-19,Perplexity,best business card,Citi,1,3,Neutral
2024-04-22,ChatGPT,best travel credit card,Chase,1,3,Positive
2025-09-30,Perplexity,best business card,Citi,1,1,Negative
2024-01-25,ChatGPT,best cashback card,Chase,1,4,Neutral
2025-05-28,Perplexity,best travel credit card,Capital One,1,2,Neutral
2024-03-05,Perplexity,best cashback card,Citi,1,3,Neutral
2024-06-20,Gemini,best business card,AMEX,1,5,Positive
2024-06-02,ChatGPT,best business card,Capital One,1,2,Negative
2025-01-26,ChatGPT,best cashback card,Capital One,1,4,Positive
2024-03-23,ChatGPT,best travel credit card,Capital One,1,2,Neutral
2024-06-07,Perplexity,best cashback card,AMEX,1,1,Negative
2024-11-30,ChatGPT,best travel credit card,Citi,1,4,Positive
2025-09-09,ChatGPT,best business card,Chase,0,4,Negative
2025-07-15,ChatGPT,best travel credit card,AMEX,1,2,Positive
2025-01-12,Perplexity,best premium card,Capital One,1,5,Negative
2025-04-21,ChatGPT,best business card,Chase,0,3,Positive
2025-01-28,Gemini,best business card,AMEX,1,3,Negative
2024-08-27,ChatGPT,best cashback card,Chase,1,3,Neutral
2024-02-15,ChatGPT,best travel credit card,Capital One,1,2,Neutral
2025-11-28,Claude,best cashback card,Chase,0,5,Neutral
2024-03-25,Perplexity,best premium card,Capital One,0,2,Positive
2024-07-31,Gemini,best cashback card,Chase,1,3,Negative
2024-08-22,Gemini,best travel credit card,Capital One,1,3,Neutral
2024-09-25,Claude,best business card,Chase,1,3,Positive
2025-03-10,Gemini,best travel credit card,AMEX,1,5,Positive
2024-12-01,Gemini,best travel credit card,Capital One,0,1,Positive
2024-03-23,Gemini,best business card,Citi,1,3,Negative
2024-07-04,ChatGPT,best business card,Chase,1,3,Negative
2024-03-02,ChatGPT,best premium card,Citi,1,5,Negative
2024-10-05,ChatGPT,best business card,Citi,1,2,Negative
2025-11-01,Claude,best travel credit card,Citi,1,4,Negative
2025-01-26,Claude,best business card,AMEX,1,4,Positive
2024-08-02,ChatGPT,best travel credit card,Chase,0,5,Positive
2025-01-29,Perplexity,best business card,Citi,1,1,Positive
2024-02-14,ChatGPT,best business card,AMEX,1,2,Neutral
2024-03-27,Perplexity,best premium card,Chase,1,3,Negative
2025-07-10,Gemini,best business card,Citi,0,2,Positive
2024-05-04,Perplexity,best premium card,AMEX,1,1,Negative
2024-09-01,Claude,best travel credit card,AMEX,0,3,Neutral
2025-07-08,Claude,best premium card,Chase,1,5,Neutral
2024-05-04,Gemini,best cashback card,Chase,1,5,Positive
2025-12-04,Claude,best travel credit card,AMEX,0,3,Neutral
2025-03-06,Perplexity,best travel credit card,Capital One,0,3,Negative
2025-04-28,ChatGPT,best cashback card,AMEX,1,5,Negative
2024-08-13,ChatGPT,best cashback card,Chase,1,1,Positive
2024-06-24,Claude,best cashback card,AMEX,1,1,Neutral
2024-03-15,Claude,best travel credit card,AMEX,0,5,Positive
2025-06-03,Perplexity,best premium card,Capital One,1,2,Positive
2025-11-04,ChatGPT,best business card,Capital One,1,1,Negative
2024-01-08,Perplexity,best cashback card,Chase,1,1,Positive
2025-05-19,Claude,best business card,Capital One,1,1,Negative
2024-02-21,Claude,best travel credit card,Citi,1,4,Positive
2024-03-21,Gemini,best premium card,AMEX,1,4,Negative
2025-04-14,Claude,best cashback card,Chase,1,3,Negative
2025-06-03,ChatGPT,best business card,Chase,1,1,Positive
2024-11-13,Claude,best business card,Chase,0,4,Positive
2025-10-15,Perplexity,best cashback card,Capital One,1,1,Positive
2024-03-09,Claude,best travel credit card,AMEX,0,1,Neutral
2024-12-12,ChatGPT,best premium card,Capital One,1,3,Positive
2024-03-27,ChatGPT,best cashback card,AMEX,1,5,Negative
2025-10-13,Claude,best business card,Chase,1,5,Negative
2024-05-03,Perplexity,best business card,Chase,1,1,Negative
2024-10-12,Perplexity,best premium card,AMEX,0,3,Positive
2024-05-15,Claude,best business card,Chase,1,4,Neutral
2025-05-02,Claude,best travel credit card,Citi,1,2,Neutral
2024-11-17,Perplexity,best premium card,AMEX,0,3,Negative
2024-07-15,Perplexity,best business card,Capital One,1,1,Neutral
2025-12-17,Perplexity,best premium card,AMEX,1,5,Neutral
2025-12-21,Claude,best cashback card,Citi,1,4,Positive
2025-02-22,Claude,best travel credit card,Citi,1,3,Negative
2024-03-19,Claude,best business card,Citi,1,5,Negative
2024-04-15,Gemini,best travel credit card,Capital One,1,3,Neutral
2025-09-15,Perplexity,best travel credit card,Chase,1,2,Negative
2025-09-18,ChatGPT,best cashback card,Citi,1,3,Positive
2025-08-01,Claude,best cashback card,Chase,1,2,Neutral
2025-10-11,Perplexity,best cashback card,AMEX,0,4,Neutral
2025-01-20,Perplexity,best travel credit card,AMEX,1,1,Positive
2025-10-16,ChatGPT,best business card,AMEX,0,1,Positive
2025-01-09,Gemini,best travel credit card,Chase,0,2,Positive
2024-07-09,ChatGPT,best cashback card,AMEX,0,4,Positive
2024-05-14,ChatGPT,best travel credit card,AMEX,1,3,Neutral
2024-10-02,Perplexity,best premium card,Capital One,1,3,Negative
2024-07-06,ChatGPT,best business card,Chase,1,4,Positive
2024-09-20,Gemini,best travel credit card,AMEX,1,2,Negative
2025-01-01,Perplexity,best travel credit card,Citi,1,2,Negative
2024-03-30,Claude,best business card,Capital One,1,1,Positive
2024-02-27,Perplexity,best business card,AMEX,0,1,Negative
2025-10-09,Gemini,best travel credit card,Chase,0,4,Negative
2024-04-18,Gemini,best travel credit card,AMEX,1,3,Negative
2024-02-23,Gemini,best business card,AMEX,1,5,Negative
2025-11-24,ChatGPT,best travel credit card,Chase,1,2,Neutral
2024-09-12,Gemini,best cashback card,Capital One,1,4,Neutral
2025-01-14,Gemini,best cashback card,Chase,1,5,Positive
2025-10-30,Perplexity,best cashback card,Capital One,1,4,Negative
2025-11-23,Perplexity,best cashback card,Citi,1,3,Neutral
2024-01-31,Perplexity,best cashback card,Citi,0,5,Positive
2024-01-04,Perplexity,best business card,Chase,1,2,Negative
2025-02-16,ChatGPT,best travel credit card,Citi,1,4,Negative
2024-10-26,ChatGPT,best cashback card,AMEX,1,4,Neutral
2024-04-03,ChatGPT,best travel credit card,Citi,1,1,Positive
2025-01-17,Gemini,best business card,Chase,0,3,Negative
2025-06-17,Perplexity,best business card,Chase,1,4,Neutral
2025-05-17,ChatGPT,best cashback card,Chase,1,2,Neutral
2025-09-29,Claude,best travel credit card,Chase,1,5,Positive
2024-04-05,Claude,best premium card,Capital One,1,1,Neutral
2025-06-25,ChatGPT,best business card,Capital One,1,5,Positive
2024-01-05,Gemini,best business card,Chase,1,5,Positive
2024-07-12,Gemini,best business card,Citi,1,1,Positive
2024-07-16,Claude,best premium card,Capital One,1,4,Positive
2025-09-10,Perplexity,best cashback card,Chase,1,3,Negative
2025-09-10,Gemini,best cashback card,AMEX,1,3,Negative
2025-02-22,Claude,best business card,Chase,0,5,Neutral
2025-08-08,Perplexity,best travel credit card,Citi,1,5,Neutral
2024-12-01,Perplexity,best cashback card,Chase,1,3,Positive
2024-02-17,ChatGPT,best cashback card,Chase,0,2,Negative
2025-04-14,Claude,best premium card,AMEX,1,2,Neutral
2025-08-12,Gemini,best business card,AMEX,1,5,Positive
2025-05-02,Claude,best business card,AMEX,1,3,Neutral
2025-10-17,Gemini,best cashback card,Capital One,1,1,Negative
2024-02-17,Claude,best premium card,Citi,1,4,Positive
2024-05-08,ChatGPT,best premium card,AMEX,1,1,Neutral
2025-01-15,Claude,best business card,AMEX,0,2,Negative
2025-06-11,ChatGPT,best premium card,AMEX,1,2,Negative
2025-06-15,ChatGPT,best travel credit card,AMEX,1,2,Negative
2025-02-19,ChatGPT,best travel credit card,Citi,0,5,Negative
2025-01-20,Gemini,best premium card,Capital One,1,5,Positive
2024-02-28,ChatGPT,best business card,Citi,1,1,Negative
2025-03-18,Gemini,best premium card,Capital One,0,1,Positive
2025-04-14,Perplexity,best cashback card,Citi,1,1,Negative
2024-09-17,ChatGPT,best travel credit card,Capital One,1,2,Negative
2024-07-12,Claude,best cashback card,Citi,0,4,Negative
2024-08-28,Claude,best travel credit card,Citi,0,4,Negative
2024-06-15,Perplexity,best cashback card,AMEX,1,3,Neutral
2024-02-13,ChatGPT,best travel credit card,Citi,1,3,Negative
2024-06-17,Perplexity,best business card,Citi,1,2,Positive
2025-07-27,Claude,best cashback card,Citi,1,3,Negative
2024-03-15,Claude,best business card,Capital One,1,4,Neutral
2024-02-20,Gemini,best cashback card,Citi,0,5,Positive
2025-08-29,Gemini,best travel credit card,Chase,1,2,Positive
2025-04-07,Perplexity,best cashback card,Capital One,1,5,Neutral
2025-01-30,Claude,best cashback card,Citi,1,3,Negative
2025-12-30,ChatGPT,best premium card,Capital One,1,5,Negative
2024-10-31,ChatGPT,best premium card,Capital One,1,1,Positive
2024-11-26,Gemini,best cashback card,AMEX,1,2,Positive
2025-01-03,Claude,best cashback card,Citi,0,2,Positive
2025-12-26,Gemini,best cashback card,AMEX,0,3,Positive
2025-04-20,ChatGPT,best travel credit card,Capital One,0,4,Neutral
2024-10-04,Gemini,best premium card,AMEX,0,5,Positive
2024-10-20,Claude,best business card,Chase,0,5,Positive
2025-06-20,ChatGPT,best cashback card,Chase,1,5,Positive
2024-09-09,Claude,best premium card,Capital One,1,5,Negative
2024-04-12,ChatGPT,best travel credit card,Citi,1,3,Neutral
2025-06-30,Claude,best premium card,Chase,1,5,Negative
2025-08-07,Claude,best cashback card,Citi,1,1,Negative
2024-06-14,Gemini,best business card,Capital One,1,5,Neutral
2025-03-21,ChatGPT,best premium card,Chase,1,1,Negative
2025-09-04,Perplexity,best premium card,Citi,1,5,Positive
2025-05-30,Claude,best premium card,Capital One,1,4,Positive
2025-02-16,ChatGPT,best travel credit card,AMEX,0,5,Positive
2025-12-14,Perplexity,best premium card,AMEX,1,2,Neutral
2024-05-14,Gemini,best cashback card,AMEX,0,5,Positive
2025-08-15,Perplexity,best cashback card,Capital One,1,4,Positive
2025-04-02,Perplexity,best business card,Capital One,0,5,Negative
2024-07-11,Claude,best premium card,Chase,1,4,Positive
2024-12-27,ChatGPT,best premium card,AMEX,0,1,Neutral
2024-12-05,Gemini,best premium card,AMEX,1,3,Negative
2025-03-30,Perplexity,best premium card,Capital One,1,3,Neutral
2025-06-27,Claude,best cashback card,Capital One,1,1,Neutral
2024-10-10,ChatGPT,best travel credit card,Chase,1,5,Negative
2024-08-07,Gemini,best travel credit card,Capital One,1,2,Neutral
2024-03-02,Perplexity,best business card,Chase,1,2,Positive
2024-01-02,Perplexity,best premium card,Chase,1,4,Neutral
2025-09-27,Perplexity,best travel credit card,AMEX,0,5,Negative
2024-09-09,Gemini,best business card,AMEX,0,4,Negative
2025-08-15,Claude,best travel credit card,Capital One,1,5,Positive
2024-11-21,Claude,best premium card,Citi,1,5,Positive
2025-06-03,Claude,best premium card,Chase,1,5,Neutral
2024-05-19,ChatGPT,best premium card,Chase,1,2,Negative
2025-09-30,Gemini,best cashback card,Chase,1,4,Negative
2024-08-08,Gemini,best premium card,Chase,1,1,Positive
2024-06-04,Perplexity,best premium card,Citi,1,1,Neutral
2025-10-06,Claude,best cashback card,AMEX,1,3,Positive
2024-06-19,Perplexity,best premium card,Capital One,0,2,Positive
2025-01-03,Perplexity,best cashback card,Chase,0,1,Positive
2024-01-12,Gemini,best travel credit card,Citi,1,1,Negative
2024-01-31,Claude,best travel credit card,Capital One,1,4,Negative
2025-10-26,Claude,best travel credit card,Capital One,1,3,Negative
2025-01-25,Gemini,best business card,AMEX,1,4,Negative
2024-06-05,Gemini,best cashback card,Capital One,0,2,Neutral
2024-07-21,ChatGPT,best business card,AMEX,1,4,Negative
2024-10-03,Perplexity,best premium card,Chase,1,5,Neutral
2024-02-25,Perplexity,best business card,Citi,1,4,Negative
2025-06-18,Claude,best travel credit card,Citi,1,2,Negative
2025-12-27,Gemini,best travel credit card,Capital One,1,3,Negative
2024-03-14,Claude,best travel credit card,Chase,0,4,Negative
2025-09-27,Gemini,best cashback card,Chase,1,1,Neutral
2025-01-23,Claude,best business card,AMEX,1,2,Positive
